Time Real Imag
0.000000000000000000e+00 1.116500177435332031e+00 1.639281722480321557e+00
9.775171065493646130e-04 2.876068862959953454e-01 2.060134829697689351e+00
1.955034213098729226e-03 -7.241202786145194414e-01 2.186430911888761042e+00
2.932551319648093839e-03 -1.706628380931679567e+00 1.770850848111806597e+00
3.910068426197458452e-03 -2.443781864556795913e+00 8.493632473384589154e-01
4.887585532746823065e-03 -2.654277569491415800e+00 -3.125035936130570180e-01
5.865102639296187678e-03 -2.295852053795663927e+00 -1.510086681271999520e+00
6.842619745845552291e-03 -1.478486962344148337e+00 -2.436258196518268360e+00
7.820136852394916904e-03 -2.499039631440133635e-01 -2.889241033463036956e+00
8.797653958944280650e-03 1.069279028407316590e+00 -2.740272464656271723e+00
9.775171065493646130e-03 2.192371767855444631e+00 -2.035198363017844070e+00
1.075268817204301161e-02 2.891357195761325105e+00 -9.064405990141102265e-01
1.173020527859237536e-02 2.979055248273745349e+00 4.544008587089725659e-01
1.270772238514173910e-02 2.410325816445871183e+00 1.714012183547878321e+00
1.368523949169110458e-02 1.453221300442073538e+00 2.539544736599111285e+00
1.466275659824047006e-02 2.071155102717756602e-01 2.867315562694433329e+00
1.564027370478983381e-02 -1.044782013247418595e+00 2.621508362900781819e+00
1.661779081133919755e-02 -2.040937334231827549e+00 1.808868457759087001e+00
1.759530791788856130e-02 -2.551229399996708835e+00 6.813028259305504708e-01
1.857282502443792851e-02 -2.474329305446289595e+00 -4.739468784445853844e-01
1.955034213098729226e-02 -1.916820385484506062e+00 -1.437616907087484019e+00
2.052785923753665601e-02 -9.871843637360162571e-01 -1.988574751928225526e+00
2.150537634408602322e-02 -3.981216010718273413e-02 -2.076173749894517417e+00
2.248289345063538697e-02 8.397685295875868539e-01 -1.737049298880793957e+00
2.346041055718475071e-02 1.432051542802048827e+00 -1.059903787392534991e+00
2.443792766373411446e-02 1.545275446875430836e+00 -2.786943423883376791e-01
2.541544477028347820e-02 1.305515601487396982e+00 4.320498360402499349e-01
2.639296187683284542e-02 7.999393341501284116e-01 9.007223941440176684e-01
2.737047898338220916e-02 2.197315706662943680e-01 9.342427365417157459e-01
2.834799608993157291e-02 -2.455625597954093908e-01 7.932922355334258713e-01
2.932551319648094013e-02 -4.785355419395814769e-01 3.762356299205932286e-01
3.030303030303030387e-02 -4.667332649177240445e-01 -1.827383534495373787e-02
3.128054740957966762e-02 -2.005350170755230699e-01 -3.341910654457839192e-01
3.225806451612903136e-02 1.435126881753626960e-01 -3.596961651136935667e-01
3.323558162267839511e-02 4.854590677302052515e-01 -1.386425843322612317e-01
3.421309872922775885e-02 6.913752856057682195e-01 2.594590663160435406e-01
3.519061583577712260e-02 5.104540230333621809e-01 6.918034931607818239e-01
3.616813294232649328e-02 9.134602979322549443e-02 1.052451014481981639e+00
3.714565004887585703e-02 -4.969606733456173875e-01 1.177274918043268004e+00
3.812316715542522078e-02 -1.136461681067855389e+00 9.138955891543424359e-01
3.910068426197458452e-02 -1.617196415328185255e+00 3.425096561896796565e-01
4.007820136852394827e-02 -1.776720154783180572e+00 -4.706866100404968334e-01
4.105571847507331201e-02 -1.436122376511618226e+00 -1.321176520013731981e+00
4.203323558162267576e-02 -7.726013644678954018e-01 -1.971812869958896819e+00
4.301075268817204644e-02 1.911106231148052004e-01 -2.218907632848739819e+00
4.398826979472141019e-02 1.197808432812821122e+00 -2.052519419081144658e+00
4.496578690127077393e-02 2.062601328376889587e+00 -1.362614898745522440e+00
4.594330400782013768e-02 2.562191422393560902e+00 -2.662875864134203741e-01
4.692082111436950143e-02 2.505584519817996458e+00 8.920002758964528100e-01
4.789833822091886517e-02 1.879640417860364510e+00 1.882384081809827192e+00
4.887585532746822892e-02 8.687340706781483401e-01 2.619138559591179582e+00
4.985337243401759266e-02 -3.362178158522998173e-01 2.754093936805029230e+00
5.083088954056695641e-02 -1.565311268014873969e+00 2.348035316919574456e+00
5.180840664711632709e-02 -2.405581249468095706e+00 1.449217470371962246e+00
5.278592375366569084e-02 -2.758110628422682620e+00 2.110138343925531401e-01
5.376344086021505458e-02 -2.563679869940874045e+00 -1.030655843853365061e+00
5.474095796676441833e-02 -1.835639457135669117e+00 -2.030072211566232188e+00
5.571847507331378208e-02 -7.652322240225206684e-01 -2.563562454178263117e+00
5.669599217986314582e-02 3.876758272057431176e-01 -2.520698513846239219e+00
5.767350928641250957e-02 1.448041147440670251e+00 -2.004663794309516245e+00
5.865102639296188025e-02 2.053193058239681790e+00 -1.104148618012693150e+00
5.962854349951124400e-02 2.263398117239874274e+00 -9.101314392089292216e-02
6.060606060606060774e-02 1.970812172376025018e+00 8.452258633276964472e-01
6.158357771260997149e-02 1.250749865374741088e+00 1.520129248723738558e+00
6.256109481915933523e-02 3.793981111273978524e-01 1.787898158242383628e+00
6.353861192570869898e-02 -3.977283324202199877e-01 1.624728122218799031e+00
6.451612903225806273e-02 -1.005671771114266644e+00 1.113524759785197382e+00
6.549364613880742647e-02 -1.246668472838217578e+00 4.713833563898079393e-01
6.647116324535679022e-02 -1.149938140266082209e+00 -1.245405753033000940e-01
6.744868035190615396e-02 -7.728674072142315277e-01 -5.986423366503168531e-01
6.842619745845551771e-02 -3.195091092179435099e-01 -7.339788564859183184e-01
6.940371456500488145e-02 1.292329456409745947e-01 -6.298069758539149854e-01
7.038123167155424520e-02 3.671728632793274660e-01 -3.476191938581047469e-01
7.135874877810362282e-02 3.779950024303003753e-01 5.918013591476449509e-02
7.233626588465298657e-02 1.945040841951463650e-01 3.143458583354882263e-01
7.331378299120235031e-02 -1.936293381574802630e-01 4.297204538598066170e-01
7.429130009775171406e-02 -5.915906394492677078e-01 2.838526994537914905e-01
7.526881720430107781e-02 -7.524912562578904840e-01 -1.402288816281585526e-01
7.624633431085044155e-02 -7.068809303861764981e-01 -5.747234759110357860e-01
7.722385141739980530e-02 -3.485486887641889853e-01 -1.092830829896013434e+00
7.820136852394916904e-02 1.965562646807469116e-01 -1.301533704040692907e+00
7.917888563049853279e-02 8.969850741266458538e-01 -1.113796311890488333e+00
8.015640273704789653e-02 1.472787221509926692e+00 -7.071488996767215651e-01
8.113391984359726028e-02 1.794685928138838760e+00 1.499899166515477819e-02
8.211143695014662403e-02 1.703102693703990811e+00 8.983476177077854841e-01
8.308895405669598777e-02 1.157469719641474493e+00 1.665005748424640553e+00
8.406647116324535152e-02 3.389334553955878349e-01 2.130165315586769914e+00
8.504398826979471526e-02 -7.042885876987104998e-01 2.146480424325402758e+00
8.602150537634409289e-02 -1.595470227988275758e+00 1.701951099092411601e+00
8.699902248289345663e-02 -2.263931368727629678e+00 8.204474648834694239e-01
8.797653958944282038e-02 -2.424908305822057741e+00 -2.470637731067489018e-01
8.895405669599218412e-02 -2.177885348213793204e+00 -1.338867234735745537e+00
8.993157380254154787e-02 -1.376555347758715131e+00 -2.133140187185819769e+00
9.090909090909091161e-02 -2.688705137110099508e-01 -2.555993622322091596e+00
9.188660801564027536e-02 8.542947831978001672e-01 -2.481163926527399255e+00
9.286412512218963911e-02 1.851903969962653607e+00 -1.824617667971324853e+00
9.384164222873900285e-02 2.450266221990969662e+00 -8.028687952520534576e-01
9.481915933528836660e-02 2.531480814212687225e+00 3.714686921882465187e-01
9.579667644183773034e-02 2.007022957272437846e+00 1.371756542011776769e+00
9.677419354838709409e-02 1.180109789577453938e+00 2.097168304247862824e+00
9.775171065493645783e-02 1.579740410100895498e-01 2.270480484509724395e+00
9.872922776148582158e-02 -8.415122064209411556e-01 2.094922725008076636e+00
9.970674486803518533e-02 -1.597271797417178396e+00 1.469338296705532620e+00
1.006842619745845491e-01 -1.990616673699118211e+00 5.279286448469902027e-01
1.016617790811339128e-01 -1.906642412769185002e+00 -3.729440118227883016e-01
1.026392961876832904e-01 -1.400092172485372544e+00 -1.109866505998331476e+00
1.036168132942326542e-01 -6.913172783717446146e-01 -1.461877831436986019e+00
1.045943304007820179e-01 4.438533801247868116e-02 -1.470969725264127836e+00
1.055718475073313817e-01 6.397406681402654227e-01 -1.147716018953743422e+00
1.065493646138807454e-01 9.665313468288883048e-01 -6.399589702073489317e-01
1.075268817204301092e-01 9.926383020316997818e-01 -6.319849067053753822e-02
1.085043988269794729e-01 7.544677372500960821e-01 3.811082778221835388e-01
1.094819159335288367e-01 3.358084588684972505e-01 6.007845832244322892e-01
1.104594330400782004e-01 -8.471281176018913284e-02 5.041715043409230601e-01
1.114369501466275642e-01 -3.152865147500645282e-01 2.593591598022181310e-01
1.124144672531769279e-01 -3.746431409820734082e-01 -1.009881192781631187e-01
1.133919843597262916e-01 -1.774911123756690579e-01 -3.989774545761443081e-01
1.143695014662756554e-01 1.893116796165369153e-01 -4.671345429499488833e-01
1.153470185728250191e-01 5.587547944071371564e-01 -3.958946437890452641e-01
